cpu_util,load_avg,temp,run_queue_length,frequency
0,0,58400,1,1500
133,0,58950,2,1500
99,0,57300,1,1500
133,0,57850,1,1500
400,0,57850,1,1500
0,0,58950,1,1500
399,0,58950,2,1500
80,0,58950,1,1500
398,0,57850,1,1500
0,0,57850,1,1500
57,0,58950,1,1500
399,0,58950,3,1500
40,0,58950,1,1500
133,0,58950,1,1500
133,0,58400,1,1500
100,0,57300,1,1500
398,0,58950,2,1500
79,0,58400,1,1500
199,0,59500,1,1500
100,0,58950,1,1500
200,0,58950,1,1500
100,0,57850,2,1500
79,0,58400,1,1500
100,0,58950,1,1500
200,0,58950,1,1500
200,0,57300,1,1500
199,0,58950,2,1500
132,0,58950,1,1500
133,0,57850,1,1500
199,0,57850,1,1500
80,0,57850,1,1500
99,0,57850,3,1500
66,0,57300,1,1500
133,0,58950,1,1500
133,0,58950,1,1500
133,0,58950,1,1500
100,0,59500,2,1500
133,0,58950,1,1500
100,0,59500,1,1500
80,0,58400,1,1500
0,0,59500,3,1500
100,0,57300,3,1500
133,0,58400,1,1500
100,0,57850,1,1500
199,0,58400,1,1500
133,0,58950,1,1500
199,0,58950,2,1500
36,0,58950,1,1500
66,0,58400,1,1500
99,0,57850,1,1500
80,0,58400,1,1500
99,0,57850,2,1500
99,0,57300,1,1500
133,0,58950,1,1500
199,0,57300,1,1500
80,0,57300,1,1500
49,0,58400,2,1500
57,0,57300,1,1500
132,0,57850,1,1500
100,0,58950,1,1500
0,0,58950,1,1500
99,0,58400,2,1500
99,0,58950,1,1500
133,0,58400,1,1500
133,0,58950,1,1500
398,0,58950,1,1500
57,0,58950,3,1500
99,0,58400,1,1500
133,0,58400,1,1500
80,0,58950,1,1500
99,0,58950,1,1500
66,0,58400,3,1500
66,0,58950,1,1500
57,0,58400,1,1500
100,0,58400,1,1500
100,0,57300,1,1500
79,0,58400,2,1500
50,0,57850,1,1500
99,0,58400,1,1500
80,0,57850,1,1500
67,0,58950,1,1500
132,0,58400,1,1500
57,0,58400,3,1500
66,0,58400,1,1500
67,0,57300,1,1500
39,0,58400,1,1500
66,0,58400,1,1500
100,0,57850,1,1500
66,0,58400,1,1500
99,0,58400,1,1500
199,0,58400,1,1500
99,0,56750,1,1500
199,0,58400,1,1500
199,0,58400,1,1500
398,0,58400,1,1500
199,8,57300,1,1500
80,8,58400,1,1500
100,8,56750,1,1500
133,8,58400,1,1500
100,8,57850,1,1500
200,7,57850,1,1500
79,7,58400,1,1500
67,7,57850,1,1500
80,7,58400,1,1500
199,7,56750,1,1500
100,7,57300,1,1500
198,7,56750,1,1500
133,7,58400,1,1500
200,7,57850,1,1500
399,7,58400,1,1500
199,6,57850,1,1500
50,6,58400,1,1500
199,6,57850,1,1500
133,6,56750,1,1500
