cpu_util,load_avg,temp,run_queue_length,frequency
0,78,58400,5,1500
0,96,58950,6,1600
1,96,60600,4,1600
1,96,59500,4,1600
1,96,58950,4,1600
1,96,58950,4,1600
1,112,61150,4,1600
1,112,60050,4,1600
0,112,59500,4,1700
1,112,60050,4,1700
1,112,60600,5,1700
1,127,61700,4,1700
1,127,60600,4,1700
1,127,60600,4,1700
0,127,60600,4,1800
1,127,61700,4,1800
1,141,60050,4,1800
1,141,61150,4,1800
1,141,60600,4,1800
1,141,62800,4,1800
1,141,61150,4,1800
0,154,62250,4,1900
1,154,61150,4,1900
1,154,60600,5,1900
1,154,62800,4,1900
1,154,62800,4,1900
1,165,62250,4,1900
0,165,62250,4,2100
1,165,63350,4,2100
1,165,62250,4,2100
1,165,63350,4,2100
1,176,62250,4,2100
1,176,63350,4,2100
1,176,63900,4,2100
1,176,62800,4,2200
1,176,65000,4,2200
1,186,65000,4,2200
1,186,64450,4,2200
1,186,64450,4,2200
1,186,64450,4,2200
0,186,63350,4,2300
1,195,65550,4,2300
1,195,65550,4,2300
1,195,65550,4,2300
1,195,65550,4,2300
1,195,66100,4,2300
1,204,66650,4,2300
0,204,66100,4,2400
1,204,66100,4,2400
1,204,67750,4,2400
1,204,66100,4,2400
1,210,66650,4,2400
1,210,66100,4,2400
1,210,67750,4,2400
1,210,67200,4,2400
1,210,67200,4,2400
1,218,67750,4,2400
1,218,66100,4,2400
1,218,67750,5,2400
1,218,68300,4,2400
1,218,67750,4,2400
1,225,67200,4,2400
1,225,68300,4,2400
1,225,68300,4,2400
1,225,67750,4,2400
1,225,67750,4,2400
1,231,67750,4,2400
1,231,67750,4,2400
1,231,68300,4,2400
1,231,66650,4,2400
1,231,67750,5,2400
1,236,66650,5,2400
1,236,67750,5,2400
1,236,67200,4,2400
1,236,68300,4,2400
1,236,67750,4,2400
1,242,68300,5,2400
1,242,68300,4,2400
1,242,69400,4,2400
1,242,68300,4,2400
1,242,68300,4,2400
1,246,67200,4,2400
1,246,68300,4,2400
1,246,68850,4,2400
1,246,68850,4,2400
1,246,69400,4,2400
1,251,67750,4,2400
1,251,67750,4,2400
1,251,68850,4,2400
1,251,67200,4,2400
1,251,68850,4,2400
1,255,68850,4,2400
1,255,67750,4,2400
1,255,67750,4,2400
1,255,69400,4,2400
1,255,67750,4,2400
1,258,68300,4,2400
1,258,68300,4,2400
1,258,67200,4,2400
1,258,69400,4,2400
