cpu_util,load_avg,temp,run_queue_length,frequency
5,33,64450,7,1500
1,33,62800,7,1500
1,63,64450,5,1500
1,63,63900,5,1600
1,63,63350,5,1600
1,63,65000,5,1600
1,63,66650,5,1600
1,90,65550,5,1600
1,90,65000,5,1600
1,90,65000,5,1600
1,90,65000,5,1700
1,90,65000,5,1700
1,115,65000,5,1700
1,115,66100,5,1700
1,115,65000,5,1700
1,115,65000,5,1700
1,115,66650,5,1800
1,137,66650,5,1800
1,137,67200,5,1800
1,137,67200,5,1800
1,137,67200,5,1800
1,137,66650,5,1800
1,159,67200,5,1800
1,159,67200,5,1900
1,159,66650,5,1900
1,159,67750,5,1900
1,159,68300,5,1900
1,178,66650,5,1900
1,178,67750,5,1900
1,178,68850,5,2100
1,178,68850,5,2100
1,178,69400,5,2100
1,196,68300,5,2100
1,196,69950,5,2100
1,196,69950,5,2100
1,196,70500,5,2100
1,196,69950,5,2200
1,211,71050,5,2200
1,211,69400,5,2200
1,211,69400,5,2200
1,211,69950,5,2200
1,211,69950,5,2200
1,234,71050,5,2300
1,234,69950,5,2300
1,234,71600,5,2300
1,234,71050,5,2300
1,234,72150,5,2300
1,248,71600,5,2300
1,248,71600,7,2300
1,248,71600,5,2400
1,248,72150,5,2400
1,248,71600,5,2400
1,261,73250,5,2400
1,261,73250,5,2400
1,261,72700,5,2400
1,261,73250,5,2400
1,261,72700,5,2400
1,272,72150,5,2400
1,272,72700,6,2400
1,272,73800,5,2400
1,272,74900,5,2400
1,272,74350,5,2400
1,298,73800,5,2400
1,298,74900,5,2400
1,298,74350,5,2400
1,298,73250,5,2400
1,298,74900,5,2400
1,306,74900,5,2400
1,306,74350,5,2400
1,306,75450,5,2400
1,306,75450,5,2400
1,306,75450,5,2400
1,314,74350,5,2400
1,314,74900,5,2400
1,314,75450,5,2400
1,314,75450,5,2400
1,314,74900,5,2400
1,321,76000,5,2400
1,321,76000,5,2400
1,321,74900,5,2400
1,321,76000,5,2400
1,321,76000,5,2400
1,327,75450,5,2400
1,327,76000,5,2400
1,327,74900,5,2400
1,327,76550,5,2400
1,327,76000,5,2400
1,333,75450,5,2400
1,333,76000,5,2400
1,333,76000,5,2400
1,333,75450,5,2400
1,333,75450,5,2400
1,338,74900,5,2400
1,338,76550,6,2400
1,338,74900,5,2400
1,338,77100,5,2400
1,338,75450,5,2400
1,343,75450,5,2400
1,343,76550,5,2400
1,343,74900,5,2400
