cpu_util,load_avg,temp,run_queue_length,frequency
94,83,62800,6,1900
1,83,62800,6,1900
1,109,61700,5,1900
1,109,62800,5,1900
1,109,63350,5,1900
1,109,61700,5,1900
1,109,62250,5,1900
1,132,63350,5,1900
1,132,63900,5,1900
1,132,65000,5,1900
1,132,63900,5,1900
1,132,63350,5,1900
1,154,63350,5,1900
1,154,64450,5,2200
1,154,64450,5,2200
1,154,65000,5,2200
1,154,65000,5,2200
1,173,66100,5,2200
1,173,65550,5,2200
1,173,65550,5,2200
1,173,67200,5,2200
1,173,67200,5,2200
1,192,66650,5,2200
1,192,67200,5,2400
1,192,67750,5,2400
1,192,67750,5,2400
1,192,68300,5,2400
1,208,67750,5,2400
1,208,68300,5,2400
1,208,68850,5,2400
1,208,67750,5,2400
1,208,69400,5,2400
1,224,70500,5,2400
1,224,69400,5,2400
1,224,69400,5,2400
1,224,68850,5,2400
1,224,70500,5,2400
1,238,69400,5,2400
1,238,68850,5,2400
1,238,70500,5,2400
1,238,68300,6,2400
1,238,70500,5,2400
1,251,71600,5,2400
1,251,71050,5,2400
1,251,70500,6,2400
1,251,71050,5,2400
1,251,71050,5,2400
1,263,70500,5,2400
1,263,71050,5,2400
1,263,71050,5,2400
1,263,71050,5,2400
1,263,72150,5,2400
1,274,71050,5,2400
1,274,71050,5,2400
1,274,70500,5,2400
1,274,71050,5,2400
1,274,70500,5,2400
1,284,72700,5,2400
1,284,71600,5,2400
1,284,71050,5,2400
1,284,71600,6,2400
1,284,72150,5,2400
1,293,71600,5,2400
1,293,72150,5,2400
1,293,71600,5,2400
1,293,71050,6,2400
1,293,72150,5,2400
1,302,72150,5,2400
1,302,72150,5,2400
1,302,73250,5,2400
1,302,72150,5,2400
1,302,72150,5,2400
1,310,72700,5,2400
1,310,73800,5,2400
1,310,73800,5,2400
1,310,73250,5,2400
1,310,72150,5,2400
1,317,71600,5,2400
1,317,73800,5,2400
1,317,72700,5,2400
1,317,72150,7,2400
1,317,73800,5,2400
1,324,73800,5,2400
1,324,73800,5,2400
1,324,72700,5,2400
1,324,73250,5,2400
1,324,73800,5,2400
1,330,73800,5,2400
1,330,73250,5,2400
1,330,73800,5,2400
1,330,72700,5,2400
1,330,73800,5,2400
1,335,74350,5,2400
1,335,72700,5,2400
1,335,73250,5,2400
1,335,74350,5,2400
1,335,73800,5,2400
1,341,74900,5,2400
1,341,74350,5,2400
1,341,74350,5,2400
