cpu_util,load_avg,temp,run_queue_length,frequency
19,71,69950,7,2400
1,71,70500,6,2400
1,71,69950,5,2400
1,71,70500,5,2400
1,71,71050,5,2400
1,98,71600,5,2400
1,98,72700,5,2400
1,98,71600,5,2400
1,98,71600,5,2400
1,98,70500,5,2400
1,122,70500,5,2400
1,122,71050,5,2400
1,122,72150,5,2400
1,122,71050,5,2400
1,122,72150,5,2400
1,144,72150,5,2400
1,144,72700,5,2400
1,144,72150,5,2400
1,144,71600,5,2400
1,144,72700,5,2400
1,165,73250,5,2400
1,165,72700,5,2400
1,165,74900,5,2400
1,165,72150,5,2400
1,165,74350,5,2400
1,184,73800,5,2400
1,184,72700,5,2400
1,184,73800,5,2400
1,184,72150,5,2400
1,184,73250,5,2400
1,201,72700,5,2400
1,201,73800,5,2400
1,201,73800,5,2400
1,201,72700,5,2400
1,201,73250,5,2400
1,217,74350,5,2400
1,217,74900,5,2400
1,217,74350,5,2400
1,217,73800,5,2400
1,217,74900,5,2400
1,232,74350,5,2400
1,232,74900,5,2400
1,232,75450,5,2400
1,232,76000,5,2400
1,232,76000,5,2400
1,245,75450,5,2400
1,245,74350,5,2400
1,245,76000,5,2400
1,245,74350,5,2400
1,245,76000,5,2400
1,258,75450,5,2400
1,258,76550,5,2400
1,258,74350,5,2400
1,258,75450,5,2400
1,258,75450,5,2400
1,269,76000,5,2400
1,269,74900,5,2400
1,269,75450,5,2400
1,269,74350,5,2400
1,269,74900,5,2400
1,279,76000,5,2400
1,279,75450,5,2400
1,279,77100,5,2400
1,279,76000,5,2400
1,279,75450,5,2400
1,289,74900,5,2400
1,289,74900,5,2400
1,289,75450,5,2400
1,289,76550,5,2400
1,289,74900,5,2400
1,298,76550,5,2400
1,298,76550,5,2400
1,298,76000,5,2400
1,298,75450,5,2400
1,298,77100,5,2400
1,306,75450,5,2400
1,306,76550,5,2400
1,306,76550,5,2400
1,306,77100,5,2400
1,306,76000,5,2400
1,330,75450,5,2400
1,330,76000,5,2400
1,330,77100,5,2400
1,330,76550,5,2400
1,330,76550,5,2400
1,335,76000,5,2400
1,335,77100,5,2400
1,335,76000,5,2400
1,335,77650,5,2400
1,335,77650,5,2400
1,341,77650,5,2400
1,341,76000,5,2400
1,341,76550,6,2400
1,341,77650,5,2400
1,341,76000,5,2400
1,345,77100,5,2400
1,345,76550,5,2400
1,345,77650,5,2400
1,345,76000,5,2400
1,345,79300,5,2400
