timestamp,cpu_util,online_cores,load_avg,temp,frequency
Tue Jun  3 11:35:56 2025,0.09,4,0.01,46.85,1500
Tue Jun  3 11:35:57 2025,1.25,4,0.01,45.75,1500
Tue Jun  3 11:35:58 2025,2.51,4,0.01,46.30,1500
Tue Jun  3 11:35:59 2025,0.75,4,0.01,46.85,1500
Tue Jun  3 11:36:00 2025,1.76,4,0.01,46.85,1500
Tue Jun  3 11:36:01 2025,3.01,4,0.01,47.95,2400
Tue Jun  3 11:36:02 2025,0.25,4,0.01,47.95,2400
Tue Jun  3 11:36:03 2025,1.26,4,0.01,48.50,2400
Tue Jun  3 11:36:04 2025,0.25,4,0.01,48.50,2400
Tue Jun  3 11:36:05 2025,0.25,4,0.01,47.95,2400
Tue Jun  3 11:36:06 2025,0.50,4,0.01,46.85,1500
Tue Jun  3 11:36:07 2025,1.25,4,0.01,46.85,1500
Tue Jun  3 11:36:08 2025,2.75,4,0.01,46.85,1500
Tue Jun  3 11:36:09 2025,0.50,4,0.01,46.85,1500
Tue Jun  3 11:36:10 2025,0.25,4,0.01,46.85,1500
Tue Jun  3 11:36:11 2025,0.50,4,0.01,45.20,1500
Tue Jun  3 11:36:12 2025,0.50,4,0.01,47.40,1500
Tue Jun  3 11:36:13 2025,2.74,4,0.01,46.85,1500
Tue Jun  3 11:36:14 2025,0.00,4,0.01,46.30,1500
Tue Jun  3 11:36:15 2025,0.50,4,0.01,46.30,1500
Tue Jun  3 11:36:16 2025,0.50,4,0.01,45.75,1500
Tue Jun  3 11:36:17 2025,0.25,4,0.01,45.20,1500
Tue Jun  3 11:36:18 2025,2.25,4,0.01,46.85,1500
Tue Jun  3 11:36:19 2025,0.50,4,0.01,47.40,1500
Tue Jun  3 11:36:20 2025,0.50,4,0.01,47.40,1500
Tue Jun  3 11:36:21 2025,0.25,4,0.01,46.30,1500
Tue Jun  3 11:36:22 2025,0.25,4,0.01,45.75,1500
Tue Jun  3 11:36:23 2025,2.01,4,0.01,46.30,1500
Tue Jun  3 11:36:24 2025,0.75,4,0.01,45.75,1500
Tue Jun  3 11:36:25 2025,0.25,4,0.01,46.85,1500
Tue Jun  3 11:36:26 2025,0.75,4,0.01,46.30,1500
Tue Jun  3 11:36:27 2025,0.75,4,0.01,45.75,1500
Tue Jun  3 11:36:28 2025,2.25,4,0.01,46.85,1500
Tue Jun  3 11:36:29 2025,0.00,4,0.01,46.85,1500
Tue Jun  3 11:36:30 2025,0.75,4,0.01,45.20,1500
Tue Jun  3 11:36:31 2025,0.75,4,0.01,46.85,1500
Tue Jun  3 11:36:32 2025,0.50,4,0.01,46.85,1500
Tue Jun  3 11:36:33 2025,2.01,4,0.09,45.75,1500
Tue Jun  3 11:36:34 2025,0.25,4,0.09,45.20,1500
Tue Jun  3 11:36:35 2025,0.50,4,0.09,46.30,1500
Tue Jun  3 11:36:36 2025,0.75,4,0.09,45.20,1500
Tue Jun  3 11:36:37 2025,0.50,4,0.09,46.30,1500
